,Name,Industry,Revenue,Headquarters[note 1],Profit,Employees
1,Amazon,Retail Information technology,716,United States,79.9,"1,576,000"
2,Walmart,Retail,713,,21.8,"2,100,000"
3,State Grid Corporation of China,Electricity,545,China,9.2,"1,361,423"
4,Saudi Aramco,Oil and gas,480,Saudi Arabia,106,"73,311"
5,China National Petroleum Corporation,476,25.2,,"1,026,301",China
6,China Petrochemical Corporation,429,9.3,[10],"513,434",
7,Apple,Information technology,416,United States,112,"166,000"
8,Alphabet,Information technology,402,,132,"190,820"
9,UnitedHealth Group,Healthcare,400,,14.4,"400,000"
10,Berkshire Hathaway,Financials,371,,88.9,"392,400"
11,CVS Health,Healthcare,357,,8.3,"259,500"
12,Volkswagen Group,Automotive,348,Germany,17.9,"684,025"
13,ExxonMobil,Oil and gas,344,United States,36.0,"61,500"
14,Vitol,Commodities,331,Switzerland,13.0,"1,560"
15,Shell,Oil and gas,323,United Kingdom,19.3,"103,000"
16,China State Construction Engineering,Construction,320,China,4.2,"382,894"
17,Toyota,Automotive,312,Japan,34.2,"380,793"
18,McKesson,Healthcare,308,United States,3.0,"48,000"
19,Microsoft,Information technology,281,,101,"228,000"
20,Cencora,Healthcare,262,,1.7,"44,000"
21,Trafigura,Commodities,244,Singapore,7.3,"12,479"
22,Costco,Retail,242,United States,6.2,"316,000"
23,JPMorgan Chase,Financials,239,,49.5,"309,926"
24,Industrial and Commercial Bank of China,222,51.4,,"419,252",China
25,Schwarz Gruppe,Retail,220,Germany,n/a,"604,000"
26,TotalEnergies,Oil and gas,218,France,21.3,"102,579"
27,Glencore,Commodities,217,Switzerland,4.2,"83,426"
28,Nvidia,Semiconductors,215,United States,120,"36,000"
29,BP,Oil and gas,213,United Kingdom,15.2,"79,400"
30,Cardinal Health,Healthcare,205,United States,0.26,"47,520"
31,Stellantis,Automotive,204,Netherlands,20.1,"258,275"
32,Chevron,Oil and gas,200,United States,21.3,"45,600"
33,China Construction Bank,Financials,199,China,46.9,"376,871"
34,Samsung Electronics,Electronics,198,South Korea,11.0,"267,860"
35,Foxconn,197,4.5,,"621,393",Taiwan
36,Cigna,Healthcare,195,United States,5.1,"71,413"
37,Agricultural Bank of China,Financials,192,China,38.0,"451,003"
38,China Railway Engineering Corporation,Construction,178,China,2.1,"314,149"
39,Cargill,Conglomerate,177,United States,17.6,"160,000"
40,Ford Motor Company,Automotive,176,,4.3,"177,000"
41,Bank of China,Financials,172,China,32.7,"306,931"
42,Bank of America,171,26.5,,"212,985",United States
43,General Motors,Automotive,171,,10.1,"163,000"
44,Elevance Health,Healthcare,171,,5.9,"104,900"
45,BMW Group,Automotive,168,Germany,12.2,"154,950"
46,Mercedes-Benz Group,Automotive,165,Germany,15.4,"166,056"
47,Meta Platforms,Social media,164,United States,62.3,"78,450"
48,China Railway Construction Corporation,Construction,160,China,1.7,"336,433"
49,Baowu,Steel,157,,2.4,"258,697"
50,Citigroup,Financials,156,United States,9.2,"237,925"
